event, id, x, y
96,634,9,39
96,634,8,39
96,634,8,40
96,634,9,40
97,122,85,97
97,122,84,97
97,122,84,98
97,122,85,98
97,122,85,99
97,122,84,99
97,122,87,95
97,122,88,94
97,122,89,95
97,122,88,95
97,122,88,96
97,378,77,99
97,378,76,99
97,378,76,100
97,380,990,502
97,634,63,108
97,634,63,109
97,634,64,108
97,634,64,109
97,634,69,99
97,634,69,100
97,634,70,99
97,634,70,100
97,634,77,100
98,122,8,126
98,122,9,126
98,122,9,127
98,122,8,127
98,122,8,128
98,122,9,128
98,378,1,129
98,378,0,129
98,380,990,502
98,627,22,109
99,121,957,13
99,121,956,13
99,121,956,14
99,121,957,14
99,377,946,16
99,377,947,16
99,377,947,17
99,377,946,17
99,380,990,502
99,624,862,41
99,633,939,17
99,633,938,17
99,633,938,18
99,633,939,18
99,633,939,19
99,633,938,19
100,114,973,8
100,114,973,9
100,114,974,8
100,114,974,9
100,370,983,8
100,370,983,9
100,370,984,9
100,380,990,502
100,626,989,8
100,626,989,9
100,626,990,8
100,626,990,9
100,627,22,109
101,121,913,22
101,377,903,26
101,377,904,26
101,377,904,27
101,380,990,502
101,633,896,30
101,633,897,30
101,633,897,31
101,633,896,31
102,114,987,114
102,114,987,115
102,114,986,115
102,370,997,114
102,370,997,115
102,370,996,115
102,370,996,116
102,370,997,116
102,380,990,502
102,626,1005,115
102,626,1004,115
102,626,1005,116
102,626,1006,115
103,121,977,9
103,121,977,10
103,121,978,9
103,121,978,10
103,377,967,11
103,380,990,502
103,627,22,109
103,633,957,12
103,633,958,11
103,633,958,12
104,121,995,65
104,121,994,65
104,121,994,66
104,121,995,66
104,377,985,67
104,377,985,68
104,377,986,67
104,377,986,68
104,380,990,502
104,633,978,69
104,633,978,70
105,121,984,214
105,121,985,214
105,121,985,215
105,121,984,215
105,377,975,218
105,377,975,219
105,377,976,218
105,380,990,502
105,633,966,220
105,633,967,220
105,633,967,221
105,633,966,221
106,114,969,89
106,114,969,90
106,114,971,89
106,114,970,89
106,114,970,90
106,114,971,90
106,114,970,91
106,120,122,35
106,370,977,90
106,370,977,91
106,370,978,90
106,370,978,91
106,380,990,502
106,626,983,91
106,626,982,91
106,626,982,92
106,626,983,92
107,114,887,25
107,114,886,25
107,114,886,26
107,114,887,26
107,114,887,27
107,114,886,27
107,370,893,23
107,370,893,24
107,370,893,25
107,370,894,22
107,370,895,23
107,370,894,23
107,370,894,24
107,370,895,24
107,370,894,25
107,380,990,502
107,626,899,20
107,626,899,21
107,626,898,21
107,626,898,22
107,626,899,22
107,626,899,23
107,626,900,21
107,626,900,22
107,626,900,23
108,122,161,2
108,122,161,3
108,122,160,3
108,122,160,4
108,122,161,4
108,378,154,2
108,378,155,2
108,378,155,3
108,378,154,3
108,380,990,502
108,634,149,1
108,634,149,2
108,634,150,1
108,634,150,2
109,122,69,106
109,122,69,107
109,122,68,107
109,378,61,109
109,378,61,110
109,378,61,111
109,378,62,110
109,380,990,502
109,634,55,112
109,634,55,113
109,634,56,113
110,122,29,17
110,122,29,18
110,122,30,17
110,122,30,18
110,378,21,17
110,378,21,18
110,378,22,17
110,378,22,18
110,380,990,502
110,634,15,17
110,634,15,18
110,634,16,18
111,114,1019,135
111,114,1019,136
111,114,1021,135
111,114,1020,135
111,114,1020,136
111,114,1021,136
111,380,990,502
111,627,4,137
111,627,4,138
111,627,5,138
112,121,927,17
112,121,928,16
112,121,929,17
112,121,928,17
112,121,928,18
112,377,919,16
112,377,919,17
112,377,918,17
112,377,918,18
112,377,919,18
112,380,990,502
112,627,22,109
112,633,912,16
112,633,912,17
113,122,9,60
113,122,9,61
113,122,8,61
113,122,9,62
113,122,10,60
113,122,11,61
113,122,10,61
113,122,10,62
113,122,11,62
113,378,1,62
113,378,1,63
113,378,2,62
113,378,2,63
113,380,990,502
114,121,1019,156
114,121,1019,157
114,121,1020,156
114,121,1020,157
114,377,1009,159
114,377,1010,159
114,377,1010,160
114,380,990,502
114,633,1002,162
114,633,1003,162
114,633,1003,163
114,633,1002,163
115,121,978,4
115,121,979,4
115,121,978,5
115,377,967,7
115,377,968,6
115,377,969,6
115,377,969,7
115,377,968,7
115,380,990,502
115,633,960,8
115,633,961,8
115,633,961,9
116,115,87,93
116,115,86,93
116,115,86,94
116,115,87,94
116,371,97,92
116,371,97,93
116,371,98,91
116,371,98,92
116,371,99,92
116,371,99,93
116,371,98,93
116,380,990,502
116,624,862,41
116,627,106,92
116,627,106,93
117,114,903,24
117,114,903,25
117,114,904,24
117,114,904,25
117,370,911,23
117,370,910,23
117,370,911,24
117,380,990,502
117,626,915,22
117,626,916,21
117,626,916,22
118,121,996,34
118,121,997,34
118,121,997,35
118,121,996,35
118,377,987,39
118,377,988,39
118,377,988,40
118,380,990,502
118,633,979,44
118,633,980,43
118,633,980,44
119,114,973,81
119,114,973,82
119,114,974,81
119,114,974,82
119,370,981,83
119,370,981,84
119,380,990,502
119,626,986,84
119,626,987,84
119,626,987,85
119,626,986,85
120,121,963,179
120,121,963,180
120,121,964,179
120,121,964,180
120,377,954,182
120,377,955,182
120,377,955,183
120,377,954,183
120,380,990,502
120,633,947,184
120,633,947,185
120,633,947,186
120,633,948,184
120,633,948,185
120,633,948,186
121,377,1019,111
121,377,1018,111
121,380,990,502
121,633,1010,112
121,633,1011,112
122,115,91,74
122,115,91,75
122,115,92,74
122,115,92,75
122,371,103,73
122,371,102,73
122,371,102,74
122,371,103,74
122,380,990,502
122,627,111,72
123,115,41,76
123,115,41,77
123,371,51,76
123,371,51,77
123,371,52,76
123,371,53,76
123,371,52,77
123,380,990,502
123,627,61,76
123,627,61,77
123,627,62,76
124,121,1008,71
124,377,999,72
124,377,999,73
124,377,1000,72
124,380,990,502
124,633,993,73
124,633,992,73
124,633,992,74
124,633,993,74
125,122,21,86
125,122,21,87
125,122,22,86
125,122,22,87
125,378,12,90
125,378,13,90
125,378,12,91
125,380,990,502
125,634,5,95
125,634,4,95
125,634,4,96
126,115,77,29
126,115,76,29
126,115,76,30
126,371,87,27
126,371,87,28
126,380,990,502
126,627,98,28
127,122,30,271
127,378,22,274
127,378,22,275
127,380,990,502
127,634,15,277
127,634,15,278
127,634,16,277
127,634,16,278
128,114,965,184
128,114,965,185
128,114,964,185
128,114,965,186
128,114,966,185
128,370,972,184
128,370,973,184
128,370,973,185
128,370,972,185
128,380,990,502
128,626,978,182
128,626,979,182
128,626,979,183
128,626,978,183
129,114,977,65
129,114,976,65
129,114,976,66
129,114,977,66
129,370,984,66
129,370,985,66
129,370,985,67
129,370,984,67
129,380,990,502
129,626,991,66
129,626,991,67
129,626,991,68
129,626,992,67
130,122,93,57
130,122,93,58
130,122,93,59
130,122,94,58
130,122,94,59
130,378,85,59
130,378,85,60
130,378,86,59
130,378,86,60
130,380,990,502
130,634,79,60
131,115,20,78
131,115,21,78
131,115,21,79
131,115,20,79
131,371,29,78
131,371,30,78
131,380,990,502
131,627,22,109
131,627,37,78
131,627,37,79
131,627,36,79
131,627,36,80
131,627,37,80
131,627,38,79
131,627,38,80
132,121,939,21
132,121,939,22
132,121,940,22
132,122,153,145
132,377,929,25
132,377,930,25
132,380,990,502
132,633,921,28
132,633,922,28
133,114,1019,73
133,114,1018,73
133,114,1018,74
133,114,1019,74
133,380,990,502
133,627,7,73
133,627,6,73
133,627,6,74
133,627,7,74
134,122,6,28
134,122,7,28
134,122,7,29
134,122,6,29
134,380,990,502
135,115,5,65
135,115,4,66
135,115,5,66
135,115,5,67
135,115,4,67
135,371,12,64
135,371,13,64
135,371,13,65
135,371,12,65
135,371,12,66
135,371,13,66
135,380,990,502
135,627,19,65
135,627,19,66
135,627,20,65
135,627,20,66
136,122,61,125
136,122,62,125
136,122,62,126
136,378,53,127
136,378,52,127
136,378,52,128
136,378,53,128
136,380,990,502
136,634,44,129
136,634,44,130
136,634,45,130
137,114,995,54
137,114,995,55
137,114,994,55
137,114,995,56
137,114,996,55
137,370,1005,54
137,370,1005,55
137,370,1005,56
137,370,1006,55
137,370,1006,56
137,380,990,502
137,626,1014,54
137,626,1015,54
137,626,1015,55
137,626,1014,55
137,626,1014,56
137,626,1015,56
138,114,1021,49
138,114,1020,49
138,114,1020,50
138,114,1021,50
138,114,1021,51
138,114,1020,51
138,380,990,502
138,627,7,47
138,627,7,48
138,627,8,48
138,627,22,109
139,115,8,469
139,121,841,7
139,121,840,8
139,121,841,8
139,377,830,8
139,377,831,8
139,377,831,9
139,377,830,9
139,380,990,502
139,627,22,109
139,633,821,7
139,633,821,8
139,633,823,7
139,633,822,7
139,633,822,8
139,633,823,8
